Sentence|Sentiment
'Organic' agriculture goes along with that theme, but certified organic is an over-reaction.|0
Organic farming is the only solution to get rid of these poisonous foods loaded with pesticides.|p
So organic farming is the best alternative in order to sustain the agriculture for future generations.|p
But the argument is, it cannot satiate needs of this starved world.|p
Though the argument is valid,scientists proved that continuous organic farming over year,may pickup the yields on par with inorganic farming.|p
Organic certification is pretty much worthless.|n
"The regulatory label ""organic"" is pretty much worthless at that scale."|n
I think people think that organic meat is automatically humanely raised meat.|n
To be fair I can understand why they think that way, with the packaging showing pigs, frisking amoungst the daisies.|n
For example, recently it came out that hen's in certain types of 'free range' enviroments are actually worse off than battery hens.|n
They are packed into sheds just within the legal minimum to be called free range, it is not enough room for them to roam healthily and they become stressed and attack one another.|n
Organic food is grown without artificial chemicals and buying it is beneficial for two main reasons.|p
Number one is that you are not slowly poisoning yourself and the people you are serving (which if they are small children - are much more sensitive to these things and it is probably more likely to affect their development).|p
you are not deliberately putting toxins in their mouths that their body should not be exposed to for optimal health.|p
The second reason is that you are voting organic.|p
Every purchase is a vote for what should be on the market.|p
So, this is more of a question regarding whether or not you personally think it is worth it not to consume toxins and support better agriculture methods.|p
If you do, then spend the money if you have it.|0
Buying good food should be seen as a priority not a luxury... it is an apple not a thousand dollar handbag.|p
I think that yours is an excellent question, and I think the answer, if there is one, depends on which angle you look at.|0
I believe that organic farming methods are, without question, better for the environment, the soil, and the people (often poor) who harvest the crops.|p
People generally don’t buy Organic Food because of two reasons: High Cost Trust for the Organic Brand for which high price is paid.|n
Let me tell you first why Organic Food is expensive?|0
Organic food supply is limited as compared to demand; Production costs for organic foods are typically higher because of greater labour inputs per unit of output Post-harvest handling of relatively small quantities of organic foods results in higher costs because of the mandatory segregation of organic and conventional produce, especially for processing and transportation; Marketing and the distribution chain for organic products is relatively inefficient and costs are higher because of relatively small volumes.|0
In order to trust the Organic Brand you should check the norms (international and national)- like NPOP, USDA, etc - which have set the standards and which conform to these guidelines and certify producers.|0
The company which you can trust for Organic produce is 24 Mantra.|p
We are working with close to 25,000 farmers covering almost 150,,000 acres of agricultural land across 15 States.|p
The company today has 15 Processing facilities and over 200 products.|p
It’s getting to a point where growing your own is the best option.|n
Organic farmers can legally use pesticides and many do.|0
And you can’t blame the farmer- they have to make a living.|0
And it is not always a question of organic pesticides - most are.|p
Everything on the planet is organic - even man made things are compiled from organic elements.|n
Hey, the bestest apple in the world still has levels of Arsenic in it.|n
:( But growing your own also has issues - who own the seeds….|n
Who the hell knows any more.|n
The meat and seafood is good at Whole Foods as well.|p
it is really expensive.|n
Companies selling the largest volume of organics are Wal-Mart, Costco, Kroger, Target, Safeway, and Whole Foods.|0
Companies are in business to make money, not dispense goodness, so by their own standard, the best is Whole Foods with 36% overall gross profit percent versus 28% for others.|p
I dislike Whole Foods because it fosters the idea that healthy food costs too much.|p
My picks for best are Trader Joe and HEB (TX).|p
While, as already metioned, that eating organic products usually prevent or at least deminish your intake of pesticides, hormones, antibiotics etc.|p
Another good reason for eating organic foods is for ethical reasons.|p
Many vegitarians and vegans could probably list many books and websites that explain and show all the horrific things that take place in these factories(these places are not farms) that mass produce beef, pork, chicken etc., but I am neither and will just compare it will organic animal husbandry practices.|0
Organic farming on the other hand, treats it is animals and treats nature with more consideration.|p
Nature does not get hit and damaged by the use of pesticides, synthetic fertilisers in the same way.|p
The animals are treated better considering feed, space to roam(often outside, they do not spend their whole life in cages without even seeing the sky), and companionship(by this I mean that the animals often stay with their mothers longer and live of her milk.|p
This has a lot of benifits regarding the creatures health).|p
Here's the tip offs: Conventional celery is much larger and paler than organically grown.|0
Organic celery is a nice deep (almost electric) Green because it is gotten lots of sun which stimulates chlorophyll growth, and thus the flavor you and I like.|0
Also, the opposite of “organic” in the context it is typically used is “conventional”, not “GMO”.|0
As to your question, no, there are not significant difference in the environmental impacts of typical organic foods versus most conventional foods, or most GM foods.|n
They are all often both equally destructive of soil, and all can equally end up with excess amounts of harmful chemicals accumulating in the environment (whether “organic” or not).|n
With organic production, it is possible a similar effect could occur, though differing practices might limit the severity as well.|n
With organic production, it is possible a similar effect could occur, though differing practices might limit the severity as well.|p
I buy (mostly) organic because I want to (1) increase animal welfare (there are stricter regulations for the treatment of the animals in the Danish equivalent of “organic”) and (2) to avoid spreading pesticides, certain types of fertilizers, overuse of antibiotics, etc.|p
The advertising and reasons I could gather that most people bought organic was because they thought it was better for them.|p
I’m not saying one person can’t have several valid reasons for doing something, but I did not once hear anyone talk about anything than the personal benefits for them.|0
I would say that while this is not perfect, they are worth the extra price.|p
But that is based on a view where I am taking a more holistic approach.|p
If you are only interested in the health benefits for you, then it really depends, and is not something that can be answered without a LOT of additional information.|0
The information I already asked about, but also things like how much money a certain increase in “health” (and what aspects of “health” you are talking about; “health” is a lot of different things all working together) is worth to you.|0
